fiscal_year,payroll_number,agency_name,agency_start_date,work_location_borough,title_description,leave_status,base_salary,pay_basis,regular_hours,regular_gross_paid,ot_hours,total_ot_paid,total_other_pay,is_manager,is_violation
2025,57,FIRE DEPARTMENT,1/29/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,CEASED,39386,per Annum,1168.25,21211.25,64.2,1439.71,2747.85,FALSE,FALSE
2025,57,FIRE DEPARTMENT,1/29/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,CEASED,39386,per Annum,1688,31147.35,184,5269.24,4342.37,FALSE,FALSE
2025,57,FIRE DEPARTMENT,1/29/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,CEASED,39386,per Annum,2074.75,37727.26,57,1137.63,5214.88,FALSE,FALSE
2025,57,FIRE DEPARTMENT,9/12/2023,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,CEASED,39386,per Annum,264,7.28,0,0,0.17,FALSE,FALSE
2025,57,FIRE DEPARTMENT,6/3/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,39386,per Annum,2235,39948.53,74.25,1921.96,4536.33,FALSE,FALSE
2025,57,FIRE DEPARTMENT,6/3/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,39386,per Annum,2236,39796.37,584.75,18561.2,5426.36,FALSE,FALSE
2025,57,FIRE DEPARTMENT,1/18/2022,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,CEASED,39386,per Annum,1485.97,26692.91,52.5,1033.58,4365.56,FALSE,FALSE
2025,57,FIRE DEPARTMENT,6/3/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,39386,per Annum,2268,37058.08,232,6548.48,3848.93,FALSE,FALSE
2025,57,FIRE DEPARTMENT,6/10/2019,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,39386,per Annum,2295.65,41243.15,198.5,6872.17,5771.65,FALSE,FALSE
2025,57,FIRE DEPARTMENT,6/3/2024,BRONX,EMERGENCY MEDICAL SPECIALIST-EMT,ACTIVE,39386,per Annum,2097.5,39434.9,31.75,774.56,3390.73,FALSE,FALSE
